ST	clonal_complex	phylogroup	phylogroup_consistency	n_genomes	n_pks_pos	pks_fraction	n_clbS_pos
270	ST270_Cplx	NA	NA	19	0	0.0000	0
273	ST147_Cplx	NA	NA	30	0	0.0000	0
278	ST278_Cplx	B1	1.000	66	2	0.0303	2
279	ST280_Cplx	NA	NA	2	0	0.0000	0
280	ST280_Cplx	NA	NA	7	0	0.0000	0
281	ST272_Cplx	NA	NA	5	0	0.0000	0
283	ST270_Cplx	NA	NA	1	0	0.0000	0
288	ST147_Cplx	NA	NA	22	0	0.0000	0
289	NA	NA	NA	3	0	0.0000	0
290	NA	NA	NA	1	0	0.0000	0
294	ST29_Cplx	NA	NA	12	0	0.0000	0
295	NA	B1	1.000	94	0	0.0000	1
297	NA	B1	1.000	182	1	0.0055	1
299	NA	B2	1.000	1	0	0.0000	0
300	NA	B1	1.000	88	0	0.0000	0
301	ST165_Cplx	NA	NA	20	0	0.0000	0
302	NA	NA	NA	5	0	0.0000	0
306	NA	NA	NA	96	0	0.0000	0
311	NA	NA	NA	7	0	0.0000	0
314	ST29_Cplx	NA	NA	3	0	0.0000	0
315	ST38_Cplx	NA	NA	10	0	0.0000	0
316	ST278_Cplx	B1	1.000	40	0	0.0000	0
321	NA	NA	NA	2	0	0.0000	0
325	NA	NA	NA	9	0	0.0000	0
327	NA	B1	1.000	27	0	0.0000	0
328	ST278_Cplx	B1	1.000	76	0	0.0000	0
329	NA	NA	NA	22	0	0.0000	0
330	ST10_Cplx	NA	NA	8	0	0.0000	0
332	NA	NA	NA	10	0	0.0000	0
335	ST11_Cplx	E	1.000	57	0	0.0000	2
336	ST278_Cplx	NA	NA	18	0	0.0000	0
337	NA	NA	NA	15	0	0.0000	0
342	NA	B1	1.000	187	0	0.0000	0
343	NA	B1	1.000	55	0	0.0000	0
345	NA	B1	1.000	55	0	0.0000	0
347	NA	NA	NA	1	0	0.0000	0
348	ST156_Cplx	B1	1.000	16	0	0.0000	0
349	ST349_Cplx	D	1.000	110	0	0.0000	1
350	ST350_Cplx	NA	NA	12	0	0.0000	0
351	NA	NA	NA	20	0	0.0000	0
352	NA	B2	1.000	8	0	0.0000	0
354	ST354_Cplx	F	1.000	57	0	0.0000	0
355	ST73_Cplx	NA	NA	18	0	0.0000	0
357	NA	B2	1.000	98	0	0.0000	0
359	ST101_Cplx	NA	NA	8	0	0.0000	0
